Nâng cấp bắt đầu: 16:14:45_08-06-2016
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/vi.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/theme.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/feeds/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/feeds/language/admin_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/feeds/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/admin_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/block.global.free_content_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/block.global.free_content_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/admin_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/menu/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/action_mysql.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/admins.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/block.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/cat.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/change_block.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/content.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/declined.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/del_cat.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/del_content.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/del_topic.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/main.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/publtime.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/re-published.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/rpc.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/setting.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/stop.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/tags.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/topicdelnews.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/topicsnews.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/waiting.php | SUCCESS
